-0.33	0.91	-1
0.041	0.33	1
-0.013	0.33	1
-0.23	0.14	-1
-0.39	0.26	-1
0.31	0.34	1
-0.42	0.81	-1
0.15	0.86	-1
0.33	0.45	1
-0.15	0.19	1
-0.1	0.63	1
-0.17	0.49	1
-0.44	0.32	-1
0.11	0.29	1
0.31	0.1	-1
-0.47	0.81	-1
-0.49	0.84	-1
0.076	0.71	1
0.05	0.74	1
0.21	0.54	1
0.35	0.69	-1
0.35	0.39	1
-0.0008	0.0049	1
0.49	0.79	-1
0.38	0.33	-1
-0.28	0.02	-1
-0.47	0.27	-1
-0.44	0.15	-1
-0.32	0.24	-1
-0.16	0.45	1
-0.31	0.45	1
0.4	0.082	-1
0.36	0.046	-1
0.11	0.75	1
0.47	0.76	-1
0.44	0.19	-1
-0.16	0.82	1
-0.036	0.53	1
0.15	0.88	-1
0.21	0.72	1
-0.38	0.23	-1
0.35	0.99	-1
-0.43	0.27	-1
-0.32	0.95	-1
0.029	0.64	1
-0.28	0.58	1
-0.5	0.62	-1
-0.26	0.13	-1
0.23	0.00014	-1
-0.39	0.19	-1
-0.12	0.027	-1
0.17	0.24	1
0.25	0.69	1
0.36	0.018	-1
-0.32	0.18	-1
-0.14	0.95	-1
0.25	0.3	1
0.11	0.14	1
0.18	0.25	1
0.011	0.22	1
0.022	0.056	1
0.22	0.7	1
0.075	0.51	1
-0.062	0.82	1
-0.068	0.98	-1
0.21	0.65	1
-0.17	0.43	1
0.028	0.85	1
-0.083	0.15	1
-0.15	0.96	-1
0.49	0.39	-1
0.34	0.96	-1
0.42	0.85	-1
0.019	0.55	1
-0.054	0.63	1
-0.36	0.91	-1
-0.24	0.033	-1
0.27	0.067	-1
0.29	0.16	-1
-0.077	0.23	1
-0.15	0.23	1
0.023	0.93	1
0.35	0.51	1
0.3	0.18	-1
0.3	0.29	-1
-0.43	0.17	-1
0.45	0.31	-1
-0.43	0.62	-1
0.13	0.46	1
0.28	0.075	-1
-0.47	0.91	-1
0.15	0.39	1
0.17	0.58	1
-0.42	0.55	1
0.21	0.45	1
0.12	0.75	1
-0.43	0.19	-1
-0.098	0.23	1
0.15	0.81	1
-0.15	0.54	1
0.099	0.65	1
-0.34	0.91	-1
-0.43	0.73	-1
-0.16	0.25	1
-0.44	0.41	-1
0.27	0.48	1
-0.28	0.36	1
0.17	0.58	1
-0.093	0.4	1
-0.028	0.8	1
0.47	0.74	-1
0.13	0.69	1
-0.29	0.11	-1
0.46	0.33	-1
0.24	0.9	-1
-0.45	0.043	-1
-0.044	0.84	1
0.38	0.64	-1
-0.41	0.27	-1
0.32	0.76	-1
0.29	0.94	-1
-0.43	0.38	-1
-0.16	0.69	1
-0.041	0.81	1
0.17	0.45	1
-0.16	0.39	1
0.13	0.26	1
-0.46	0.54	1
0.042	0.96	-1
-0.074	0.12	1
-0.17	0.62	1
-0.33	0.85	-1
-0.36	0.4	1
0.3	0.086	-1
-0.17	0.17	-1
0.24	0.18	-1
0.23	0.76	1
0.46	0.17	-1
-0.48	0.69	-1
0.071	0.22	1
0.15	0.45	1
0.37	0.17	-1
-0.16	0.36	1
0.42	0.89	-1
-0.23	0.32	1
-0.43	0.28	-1
0.18	0.83	-1
-0.35	0.83	-1
0.33	0.94	-1
-0.12	0.16	1
0.052	0.81	1
0.33	0.79	-1
-0.46	0.9	-1
0.34	0.71	-1
-0.39	0.75	-1
0.4	0.81	-1
0.18	0.52	1
-0.15	0.19	1
-0.4	0.15	-1
-0.48	0.0051	-1
-0.19	0.78	1
0.023	0.33	1
-0.02	0.32	1
-0.32	0.66	1
-0.08	0.0036	-1
0.072	0.42	1
-0.29	0.95	-1
-0.11	0.78	1
